Datasets,Models,Metrics,Combination,Value,Rank
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE ID+CWE Description+Vulnerable Lines,1569.3829787234042,61
bigvul,gpt-3.5-turbo,#Input Token,CWE Example,1571.018237082067,62
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE ID+CWE Name+CWE Description+Vulnerable Lines,1572.0364741641338,63
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE Name+CWE Description+Vulnerable Lines,1576.0597771023304,64
bigvul,gpt-3.5-turbo,#Input Token,CWE ID+CWE Example,1579.018237082067,65
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE Example,1583.0415400202635,66
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE ID+CWE Name+CWE Description+Vulnerable Lines,1584.0597771023304,67
bigvul,gpt-3.5-turbo,#Input Token,CWE Name+CWE Example,1585.6950354609928,68
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE ID+CWE Example,1591.0415400202635,69
bigvul,gpt-3.5-turbo,#Input Token,CWE ID+CWE Name+CWE Example,1593.6950354609928,70
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE Name+CWE Example,1597.7183383991894,71
bigvul,gpt-3.5-turbo,#Input Token,CWE Description+CWE Example,1602.4964539007092,72
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE ID+CWE Name+CWE Example,1605.7183383991894,73
bigvul,gpt-3.5-turbo,#Input Token,CWE ID+CWE Description+CWE Example,1610.4964539007092,74
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE Description+CWE Example,1614.5197568389058,75
bigvul,gpt-3.5-turbo,#Input Token,CWE Name+CWE Description+CWE Example,1617.1732522796353,76
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE ID+CWE Description+CWE Example,1622.5197568389058,77
bigvul,gpt-3.5-turbo,#Input Token,CWE ID+CWE Name+CWE Description+CWE Example,1625.1732522796353,78
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE Name+CWE Description+CWE Example,1629.1965552178317,79
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE Example,1634.5775075987842,80
bigvul,gpt-3.5-turbo,#Input Token,CWE Example+Vulnerable Lines,1634.822695035461,81
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE ID+CWE Name+CWE Description+CWE Example,1637.1965552178317,82
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE ID+CWE Example,1642.5775075987842,83
bigvul,gpt-3.5-turbo,#Input Token,CWE ID+CWE Example+Vulnerable Lines,1642.822695035461,84
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE Example,1646.6008105369808,85
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE Example+Vulnerable Lines,1646.8459979736576,86
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE Name+CWE Example,1649.2543059777101,87
bigvul,gpt-3.5-turbo,#Input Token,CWE Name+CWE Example+Vulnerable Lines,1649.499493414387,88
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE ID+CWE Example,1654.6008105369808,89
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE ID+CWE Example+Vulnerable Lines,1654.8459979736576,90
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE ID+CWE Name+CWE Example,1657.2543059777101,91
bigvul,gpt-3.5-turbo,#Input Token,CWE ID+CWE Name+CWE Example+Vulnerable Lines,1657.499493414387,92
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE Name+CWE Example,1661.2776089159067,93
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE Name+CWE Example+Vulnerable Lines,1661.5227963525836,94
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE Description+CWE Example,1666.0557244174265,95
bigvul,gpt-3.5-turbo,#Input Token,CWE Description+CWE Example+Vulnerable Lines,1666.3009118541033,96
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE ID+CWE Name+CWE Example,1669.2776089159067,97
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE ID+CWE Name+CWE Example+Vulnerable Lines,1669.5227963525836,98
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE ID+CWE Description+CWE Example,1674.0557244174265,99
bigvul,gpt-3.5-turbo,#Input Token,CWE ID+CWE Description+CWE Example+Vulnerable Lines,1674.3009118541033,100
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE Description+CWE Example,1678.079027355623,101
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE Description+CWE Example+Vulnerable Lines,1678.3242147923,102
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE Name+CWE Description+CWE Example,1680.7325227963527,103
bigvul,gpt-3.5-turbo,#Input Token,CWE Name+CWE Description+CWE Example+Vulnerable Lines,1680.9777102330295,104
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE ID+CWE Description+CWE Example,1686.079027355623,105
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE ID+CWE Description+CWE Example+Vulnerable Lines,1686.3242147923,106
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE ID+CWE Name+CWE Description+CWE Example,1688.7325227963527,107
bigvul,gpt-3.5-turbo,#Input Token,CWE ID+CWE Name+CWE Description+CWE Example+Vulnerable Lines,1688.9777102330295,108
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE Name+CWE Description+CWE Example,1692.755825734549,109
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE Name+CWE Description+CWE Example+Vulnerable Lines,1693.0010131712258,110
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE Example+Vulnerable Lines,1698.3819655521784,111
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE ID+CWE Name+CWE Description+CWE Example,1700.755825734549,112
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE ID+CWE Name+CWE Description+CWE Example+Vulnerable Lines,1701.0010131712258,113
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE ID+CWE Example+Vulnerable Lines,1706.3819655521784,114
